cluster_id,n_sats,n_planes,plane_ids,max_plane_sats,max_plane_frac,mean_inc,mean_alt
1664,3,1,[np.int64(37)],3,1.0,53.214733333333335,547.6807068296805
1574,3,1,[np.int64(39)],3,1.0,53.21439999999999,547.6801132940703
1231,2,2,"[np.int64(10), np.int64(11)]",1,0.5,53.218199999999996,547.8609305481659
1709,2,1,[np.int64(41)],2,1.0,53.216049999999996,547.9684371792246
1690,2,1,[np.int64(54)],2,1.0,53.21605,548.5070244597197
1710,2,1,[np.int64(43)],2,1.0,53.215,548.0198419552329
1219,2,1,[np.int64(32)],2,1.0,53.21635,547.786746366457
576,2,1,[np.int64(4)],2,1.0,53.21975,548.1302692493177
422,2,1,[np.int64(71)],2,1.0,53.05475,555.3288962010313
445,2,1,[np.int64(71)],2,1.0,53.08565,533.5676463110661
492,2,1,[np.int64(0)],2,1.0,53.2192,547.8443475733577
555,2,1,[np.int64(3)],2,1.0,53.2187,547.9575761892329
511,2,1,[np.int64(6)],2,1.0,53.2181,547.8656567161241
1740,2,1,[np.int64(57)],2,1.0,53.21705,547.9536943943551
1683,2,1,[np.int64(57)],2,1.0,53.2164,547.697956589561
1761,2,1,[np.int64(56)],2,1.0,53.21665,547.9603638614285
1363,2,1,[np.int64(25)],2,1.0,53.2174,547.9127018198836
1503,2,1,[np.int64(61)],2,1.0,53.0536,555.4801518522929
1413,2,1,[np.int64(68)],2,1.0,53.0553,555.3462705916115
1573,2,1,[np.int64(37)],2,1.0,53.133250000000004,552.5418035500632
1565,2,1,[np.int64(58)],2,1.0,53.138549999999995,551.8531233090334
1663,2,1,[np.int64(37)],2,1.0,53.2132,547.9107833853159
807,2,1,[np.int64(15)],2,1.0,53.21705,547.9007258925159
1525,2,1,[np.int64(65)],2,1.0,53.05455,555.1773475713707
1492,2,1,[np.int64(69)],2,1.0,53.2196,547.9322981553515
1508,2,1,[np.int64(35)],2,1.0,53.2164,547.7552495978978
1128,2,1,[np.int64(27)],2,1.0,53.215599999999995,547.8169862357406
940,2,1,[np.int64(14)],2,1.0,53.21815,547.8940334725343
1526,2,1,[np.int64(69)],2,1.0,53.2196,547.8287775096377
999,2,1,[np.int64(11)],2,1.0,53.217600000000004,547.0495054750359
1540,2,1,[np.int64(55)],2,1.0,53.21665,547.9440832794211
1775,2,1,[np.int64(54)],2,1.0,53.2154,547.6495415804413
1756,2,1,[np.int64(64)],2,1.0,53.21865,547.7923558309511
903,2,1,[np.int64(25)],2,1.0,53.05395,555.3135985890292
446,1,1,[np.int64(71)],1,1.0,53.0544,555.1963422727147
1412,1,1,[np.int64(33)],1,1.0,53.0754,538.5293073011283
1448,1,1,[np.int64(35)],1,1.0,53.048,556.6289408458397
1429,1,1,[np.int64(68)],1,1.0,53.2183,547.8432172910794
1425,1,1,[np.int64(49)],1,1.0,53.2163,548.1824070172263
1551,1,1,[np.int64(35)],1,1.0,53.0825,534.0639494154389
1126,1,1,[np.int64(23)],1,1.0,53.216,547.8119548219871
1057,1,1,[np.int64(22)],1,1.0,53.0793,536.7156204991909
1449,1,1,[np.int64(37)],1,1.0,53.2159,547.7868880995223
662,1,1,[np.int64(8)],1,1.0,53.0518,538.909940363992
608,1,1,[np.int64(9)],1,1.0,53.0545,555.2776609466756
691,1,1,[np.int64(18)],1,1.0,53.2185,547.954512512627
1634,1,1,[np.int64(60)],1,1.0,53.2195,547.796753110704
